p,e,method,target_setting,setting_id,tuning_parameter,tuning_value,graph_penalty,target_penalty,replicates,fdp_mean,fdp_std,tdp_mean,tdp_std,d_cpdag_mean,d_cpdag_std,fit_seconds_mean,screen_edges_mean,screen_parent_sets_mean,mip_gap_mean,optimal_rate,replicates_planned,complete_replicates,contains_nonoptimal_incumbents
10,1,gies_oracle,known_oracle,bic_x0p25,bic_multiplier,0.25,0.9501128074427604,,10,0.5023625239569511,0.15734704880206457,0.8808566433566434,0.1466474759751492,10.3,4.372896319628699,0.4202410064637661,,,,,10,True,False
10,1,gies_oracle,known_oracle,bic_x0p5,bic_multiplier,0.5,1.9002256148855208,,10,0.2799014302690773,0.14046297519631498,0.9433566433566434,0.12862613645075954,4.6,4.168666186896928,0.3469525915570557,,,,,10,True,False
10,1,gies_oracle,known_oracle,bic_x1,bic_multiplier,1.0,3.800451229771041,,10,0.07174459527400703,0.16568604376093196,0.9615384615384615,0.12162606385262997,1.6,4.376706016578627,0.29769478626549245,,,,,10,True,False
10,1,gies_oracle,known_oracle,bic_x2,bic_multiplier,2.0,7.600902459542082,,10,0.08428571428571427,0.16308394121459713,0.9032051282051283,0.15911129338229982,1.9,4.094712037087183,0.2796977939084172,,,,,10,True,False
10,1,gies_oracle,known_oracle,bic_x4,bic_multiplier,4.0,15.201804919084164,,10,0.0894139194139194,0.1317263346978354,0.8865384615384615,0.15655409993961877,2.0,3.2317865716108862,0.2688435771502554,,,,,10,True,False
10,1,gnies_unknown,unknown,bic_x0p25,bic_multiplier,0.25,0.9501128074427604,,10,0.8102129153407926,0.0930122724997385,0.40757409257409255,0.1753925710288051,24.2,5.513619500836089,39.97162619391456,,,,,10,True,False
10,1,gnies_unknown,unknown,bic_x0p5,bic_multiplier,0.5,1.9002256148855208,,10,0.74109440267335,0.1450969530050778,0.3909074259074259,0.1904993162705052,19.0,7.2264944628929335,29.27570635676384,,,,,10,True,False
10,1,gnies_unknown,unknown,bic_x1,bic_multiplier,1.0,3.800451229771041,,10,0.6721814296814297,0.19542072132099766,0.4006296481296481,0.20090731399415213,15.3,6.464432603785802,22.323886130936444,,,,,10,True,False
10,1,gnies_unknown,unknown,bic_x2,bic_multiplier,2.0,7.600902459542082,,10,0.6291035353535354,0.22052826319379168,0.4039629814629815,0.18183175866671067,14.1,5.762908216439952,17.190577427018432,,,,,10,True,False
10,1,gnies_unknown,unknown,bic_x4,bic_multiplier,4.0,15.201804919084164,,10,0.604145065460855,0.16947296147574945,0.47601426351426357,0.18872144189911547,12.3,4.547282460742655,12.760115133132786,,,,,10,True,False
10,1,igsp_oracle,known_oracle,alpha_1em05,alpha=alpha_inv,1e-05,,,10,0.23508963258963256,0.13784537086840676,0.7419666444666444,0.12503645224056942,4.9,3.2812599206199238,0.07552342340350147,,,,,10,True,False
10,1,igsp_oracle,known_oracle,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,0.24077145077145073,0.14370356909136558,0.7377999777999777,0.13858414339539854,4.9,3.414023367751831,0.07332418393343682,,,,,10,True,False
10,1,igsp_oracle,known_oracle,alpha_0p001,alpha=alpha_inv,0.001,,,10,0.18126373626373624,0.14670704527650671,0.8447138972138972,0.14639735494524722,3.0,2.3570226039551585,0.08778784228488799,,,,,10,True,False
10,1,igsp_oracle,known_oracle,alpha_0p01,alpha=alpha_inv,0.01,,,10,0.21725579975579973,0.17961400969894656,0.8387615162615163,0.14401477520711298,3.6,2.716206504995115,0.09755759416148063,,,,,10,True,False
10,1,igsp_oracle,known_oracle,alpha_0p05,alpha=alpha_inv,0.05,,,10,0.3717414748993696,0.11463656080962842,0.8642943167943168,0.10645027682806467,6.2,1.6865480854231358,0.11314872084185476,,,,,10,True,False
10,1,ps_mip_oracle,known_oracle,g0p5,graph_bic_multiplier,0.5,0.0019002256148855,0.003800451229771,10,0.1361726998491704,0.12603965032296946,0.9738888888888889,0.0433546955891704,2.0,2.1081851067789197,0.4394747828133404,22.1,440.5,0.0,1.0,10,True,False
10,1,ps_mip_oracle,known_oracle,g1,graph_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,0.03499999999999999,0.06594516989210632,0.9738888888888889,0.0433546955891704,0.7,1.1595018087284057,0.32152531826868647,22.1,440.5,9.421335585445503e-06,1.0,10,True,False
10,1,ps_mip_oracle,known_oracle,g2,graph_bic_multiplier,2.0,0.007600902459542,0.003800451229771,10,0.05499999999999999,0.08242093105845875,0.9405555555555555,0.10515029416097665,1.0,1.3333333333333333,0.3417099099606275,22.1,440.5,0.0,1.0,10,True,False
10,1,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,0.18836080586080586,0.1537033359654904,0.9011111111111111,0.11543440943089037,3.6,3.7475918193480524,2.1385512791574,22.1,440.5,0.0,1.0,10,True,False
10,1,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,0.10094696969696967,0.148110016351627,0.9011111111111111,0.11543440943089037,2.4,3.339993346633426,2.016569216642529,22.1,440.5,4.717557053004543e-06,1.0,10,True,False
10,1,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,0.10776515151515151,0.12975415509222654,0.8677777777777778,0.17162980546355222,2.5,3.13581462037113,1.9177231092005969,22.1,440.5,9.130224600417004e-06,1.0,10,True,False
10,1,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,0.20867438117438114,0.12748647369520524,0.75748001998002,0.16551999021178224,4.3,3.093002855909879,0.14764962475746865,,,,,10,True,False
10,1,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,0.1998107448107448,0.0987032564704741,0.7716466866466867,0.1456736030634009,4.3,2.79085809185793,0.14474865524098274,,,,,10,True,False
10,1,utigsp_unknown,unknown,alpha_0p001,alpha=alpha_inv,0.001,,,10,0.16227716727716726,0.1271927469869011,0.850108225108225,0.1673510386373312,2.9,2.6012817353502227,0.1609891376458108,,,,,10,True,False
10,1,utigsp_unknown,unknown,alpha_0p01,alpha=alpha_inv,0.01,,,10,0.17954365079365078,0.13046387056596806,0.8671717171717171,0.112544322535219,3.0,2.211083193570267,0.15333290640264746,,,,,10,True,False
10,1,utigsp_unknown,unknown,alpha_0p05,alpha=alpha_inv,0.05,,,10,0.3598427887901572,0.1681627607481041,0.8506410256410257,0.17508464083383643,6.3,4.2176876234364356,0.20095285326242446,,,,,10,True,False
20,1,gies_oracle,known_oracle,bic_x0p25,bic_multiplier,0.25,0.9501128074427604,,10,0.6505919462385698,0.09730344363846119,0.9702613176297387,0.04913367398062972,34.5,5.2967495273569005,7.570542175415904,,,,,10,True,False
20,1,gies_oracle,known_oracle,bic_x0p5,bic_multiplier,0.5,1.9002256148855208,,10,0.42384538232637226,0.14712573285717973,0.9702613176297387,0.04913367398062972,14.0,5.849976258261415,4.71175780268386,,,,,10,True,False
20,1,gies_oracle,known_oracle,bic_x1,bic_multiplier,1.0,3.800451229771041,,10,0.11103041737116146,0.1023638535057692,0.9793522267206477,0.049638041797924165,2.5,2.838231060987733,3.1744751549325883,,,,,10,True,False
20,1,gies_oracle,known_oracle,bic_x2,bic_multiplier,2.0,7.600902459542082,,10,0.00769230769230769,0.024325212770525986,0.9846153846153847,0.04865042554105199,0.3,0.9486832980505138,2.9543851341120897,,,,,10,True,False
20,1,gies_oracle,known_oracle,bic_x4,bic_multiplier,4.0,15.201804919084164,,10,0.02998332936413431,0.049270593241733614,0.9623243629435579,0.06181986882778982,1.1,1.7919573407620817,2.9445682716555894,,,,,10,True,False
20,1,gnies_unknown,unknown,bic_x0p25,bic_multiplier,0.25,0.9501128074427604,,8,0.8114243183238035,0.05676587521608429,0.6182230437261397,0.1613982409496082,54.5,12.637811745483695,2510.313587025623,,,,,10,False,False
20,1,gnies_unknown,unknown,bic_x0p5,bic_multiplier,0.5,1.9002256148855208,,10,0.7344637752391989,0.1261733123335468,0.5216669994378973,0.20921834653058305,40.2,19.50954182502045,1538.7896824327297,,,,,10,True,False
20,1,gnies_unknown,unknown,bic_x1,bic_multiplier,1.0,3.800451229771041,,10,0.6003115661267835,0.17568703128182103,0.5510176384789387,0.21394001126782564,27.3,17.442285782928032,918.3609863176941,,,,,10,True,False
20,1,gnies_unknown,unknown,bic_x2,bic_multiplier,2.0,7.600902459542082,,10,0.5190547602440185,0.20444835627905394,0.5987143861756865,0.21451184951092478,21.2,15.497670075781642,557.0303911500611,,,,,10,True,False
20,1,gnies_unknown,unknown,bic_x4,bic_multiplier,4.0,15.201804919084164,,10,0.4145147377132671,0.1422643016661439,0.712483657839695,0.15321319683652035,14.6,8.395766128763288,340.04369367994366,,,,,10,True,False
20,1,igsp_oracle,known_oracle,alpha_1em05,alpha=alpha_inv,1e-05,,,10,0.21531272648919705,0.10721335586487751,0.7858141193744909,0.08539658003423119,8.6,6.04060335470629,0.5094790139235557,,,,,10,True,False
20,1,igsp_oracle,known_oracle,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,0.21858305694993,0.14230606217702166,0.7860366751698021,0.11225168545260934,9.0,7.438637868140465,0.47132027354091405,,,,,10,True,False
20,1,igsp_oracle,known_oracle,alpha_0p001,alpha=alpha_inv,0.001,,,10,0.21304568633980395,0.14291651104390496,0.7931470799582254,0.09386399967207575,8.8,7.177124153246278,0.5426897796802223,,,,,10,True,False
20,1,igsp_oracle,known_oracle,alpha_0p01,alpha=alpha_inv,0.01,,,10,0.2810539279232564,0.1530376537720372,0.8305366196697467,0.13330093678873636,9.5,5.562773089426212,0.4489458997733891,,,,,10,True,False
20,1,igsp_oracle,known_oracle,alpha_0p05,alpha=alpha_inv,0.05,,,10,0.635111795616462,0.1336011128404614,0.721003319579171,0.1647202192152468,29.4,8.591985930052623,0.8011692344211042,,,,,10,True,False
20,1,ps_mip_oracle,known_oracle,g0p5,graph_bic_multiplier,0.5,0.0019002256148855,0.003800451229771,10,0.29890105806913947,0.11104529867941364,0.9580235553919765,0.05277440605713797,8.4,4.115013163202923,18.322836763598026,50.5,3834.5,5.730708237540639e-06,1.0,10,True,False
20,1,ps_mip_oracle,known_oracle,g1,graph_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,0.1044893699766658,0.10286410100029277,0.9678321678321679,0.05527966007564245,2.8,3.359894178227774,7.822881709970534,50.5,3834.5,0.0,1.0,10,True,False
20,1,ps_mip_oracle,known_oracle,g2,graph_bic_multiplier,2.0,0.007600902459542,0.003800451229771,10,0.011692307692307691,0.02614077099007013,0.9723776223776224,0.05166339458877058,0.7,1.2516655570345725,5.1034520548768345,50.5,3834.5,0.0,1.0,10,True,False
20,1,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,0.332290861157438,0.1244969987437965,0.9226487547540179,0.09163643184051067,9.9,5.10881590977792,123.30990014337003,50.5,3834.5,8.767251942605938e-09,1.0,10,True,False
20,1,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,0.12623627249943037,0.09435025869305114,0.9300331247699669,0.09089500843840757,3.7,3.802046232695699,51.89620657302439,50.5,3834.5,4.787976759900109e-09,1.0,10,True,False
20,1,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,0.07797619923935713,0.10271209351815119,0.9254876702245124,0.10255047026937787,2.9,4.508017549014447,33.79188542477787,50.5,3834.5,7.223295752039408e-06,1.0,10,True,False
20,1,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,0.20727995410859856,0.13011704021704407,0.8376397882589833,0.10208379376173585,8.0,7.302967433402214,0.291709241271019,,,,,10,True,False
20,1,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,0.19668854795015783,0.12215390876086496,0.8539956546148497,0.10934711660520303,7.3,5.945119380167604,0.2512477816082537,,,,,10,True,False
20,1,utigsp_unknown,unknown,alpha_0p001,alpha=alpha_inv,0.001,,,10,0.16993701833692346,0.11785112831165763,0.8794268797364773,0.1153627523035731,6.3,5.396500923952689,0.27981230206787583,,,,,10,True,False
20,1,utigsp_unknown,unknown,alpha_0p01,alpha=alpha_inv,0.01,,,10,0.24542318439777602,0.10363524409668337,0.9210223213319189,0.09412177002429527,7.4,5.460972644339305,0.2890689253807067,,,,,10,True,False
20,1,utigsp_unknown,unknown,alpha_0p05,alpha=alpha_inv,0.05,,,10,0.6253663791360913,0.11931598063006563,0.772858121124375,0.14525194197781285,28.7,9.718824803213378,0.29206874193623655,,,,,10,True,False
30,1,gies_oracle,known_oracle,bic_x0p25,bic_multiplier,0.25,0.9501128074427604,,10,0.6982717868483902,0.024650223749453592,0.965997519242301,0.0407353043236719,74.7,5.6578362570077205,56.71763224219903,,,,,10,True,False
30,1,gies_oracle,known_oracle,bic_x0p5,bic_multiplier,0.5,1.9002256148855208,,10,0.46451981435756673,0.06493969191271792,0.971884965129747,0.029966411034161877,28.9,5.10881590977792,27.980389293190093,,,,,10,True,False
30,1,gies_oracle,known_oracle,bic_x1,bic_multiplier,1.0,3.800451229771041,,10,0.11224572989278869,0.03976189711959144,0.9813438395886214,0.02157684647272879,4.7,1.4944341180973262,17.295398026332258,,,,,10,True,False
30,1,gies_oracle,known_oracle,bic_x2,bic_multiplier,2.0,7.600902459542082,,10,0.003125,0.009882117688026186,1.0,0.0,0.1,0.31622776601683794,15.32181932311505,,,,,10,True,False
30,1,gies_oracle,known_oracle,bic_x4,bic_multiplier,4.0,15.201804919084164,,10,0.0,0.0,0.9939393939393939,0.019165319152535606,0.2,0.6324555320336759,15.452743010502308,,,,,10,True,False
30,1,gnies_unknown,unknown,bic_x4,bic_multiplier,4.0,15.201804919084164,,3,0.46240426240426236,0.25295479477944754,0.6276441611127209,0.17643870577819715,28.333333333333332,14.6401275039985,3196.1975148944184,,,,,10,False,False
30,1,igsp_oracle,known_oracle,alpha_1em05,alpha=alpha_inv,1e-05,,,10,0.17842306570722127,0.06473771489270452,0.8226447139343822,0.03987503740023954,11.6,2.913569784454954,2.919535402581096,,,,,10,True,False
30,1,igsp_oracle,known_oracle,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,0.16481376344107806,0.08870979316548308,0.8422814171004971,0.07236562309194339,10.4,4.788875998951459,2.5911837100982664,,,,,10,True,False
30,1,igsp_oracle,known_oracle,alpha_0p001,alpha=alpha_inv,0.001,,,10,0.15747498441153152,0.09421768168279278,0.8425069763638762,0.07105802488963199,10.2,5.202563470700446,2.895825008302927,,,,,10,True,False
30,1,igsp_oracle,known_oracle,alpha_0p01,alpha=alpha_inv,0.01,,,10,0.2942228442536031,0.1400679492933768,0.8424764961096178,0.06939244002476977,17.2,8.727988186161676,2.0107712727971374,,,,,10,True,False
30,1,igsp_oracle,known_oracle,alpha_0p05,alpha=alpha_inv,0.05,,,10,0.7117734119580115,0.043006992145628774,0.6801763331145652,0.05653406287814245,66.7,7.08754776585903,3.6481847423128784,,,,,10,True,False
30,1,ps_mip_oracle,known_oracle,g0p5,graph_bic_multiplier,0.5,0.0019002256148855,0.003800451229771,10,0.24183110895532903,0.06485742635939577,0.9686822001527885,0.03807296888322886,11.1,3.446415206816755,136.55673620663583,87.8,18943.1,2.0654567474806165e-05,1.0,10,True,False
30,1,ps_mip_oracle,known_oracle,g1,graph_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,0.07281537405269652,0.04431261616369222,0.9846536796536796,0.025514299753051868,3.0,1.8257418583505538,162.22712924033402,87.8,18943.1,1.2904160997950764e-05,1.0,10,True,False
30,1,ps_mip_oracle,known_oracle,g2,graph_bic_multiplier,2.0,0.007600902459542,0.003800451229771,10,0.01393581081081081,0.03451546724001232,0.9882251082251082,0.024837068939457606,0.9,1.911950719959998,142.7843597635627,87.8,18943.1,2.126554360312615e-05,1.0,10,True,False
30,1,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,0.27625505128723454,0.07669619282083301,0.9341272352808045,0.0606123694435711,13.9,4.701063709417263,910.128437390551,87.8,18943.1,0.0022415415288136987,0.8,10,True,True
30,1,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,0.09445654869589956,0.048743667119633814,0.9625101242843179,0.04164290906721308,4.7,2.5407785333546005,698.2318127438426,87.8,18943.1,0.002794560748956205,0.9,10,True,True
30,1,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,0.033364093041512374,0.04515787835370341,0.9595689478137295,0.03969389371765937,2.5,2.718251071716682,585.4175460726022,87.8,18943.1,0.002713662315874323,0.9,10,True,True
30,1,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,0.12699943736708438,0.05598806792258779,0.8782242830054123,0.038394776077692226,8.0,2.3094010767585034,0.708992378693074,,,,,10,True,False
